Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Action comment,Primary Target,PubMed ID
8752,ML355,12S-LOX,1387.0,ALOX12,P18054,ENSG00000108839,Human,False,Inhibitor,Inhibition,,True,24393039
9141,PKUMDL_MH_1001,15-LOX-1,1388.0,ALOX15,P16050,ENSG00000161905,Human,False,Allosteric modulator,Positive,,False,26290290
8751,compound 34 [PMID: 20866075],15-LOX-1,1388.0,ALOX15,P16050,ENSG00000161905,Human,False,Inhibitor,Inhibition,,True,20866075
10263,ML351,15-LOX-1,1388.0,ALOX15,P16050,ENSG00000161905,Human,False,Inhibitor,Inhibition,,False,24672829
11390,PD-146176,15-LOX-1,1388.0,ALOX15,P16050,ENSG00000161905,Human,False,Inhibitor,Inhibition,,False,9105693
14277,vatiquinone,15-LOX-1,1388.0,ALOX15,P16050,ENSG00000161905,Human,False,Inhibitor,Inhibition,,False,
8750,compound 21n [PMID: 17656086],15-LOX-2,1389.0,ALOX15B,O15296,ENSG00000179593,Human,False,Inhibitor,Inhibition,,False,17656086
10264,MLS000536924,15-LOX-2,1389.0,ALOX15B,O15296,ENSG00000179593,Human,False,Inhibitor,Inhibition,,False,25111178
10210,I3MT-3,3-Mercaptopyruvate sulfurtransferase,1446.0,MPST,P25325,ENSG00000128309,Human,False,Inhibitor,Inhibition,,False,28079151
7907,7-hydroxystaurosporine,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,11896604
8006,BX-795,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,15772071
8007,BX-912,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,15772071
8181,compound 1 [PMID: 20005102],3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,False,20005102
8008,GSK2334470,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,21341675
8005,OSU-03012,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,15205346
8009,PHT-427,3-phosphoinositide dependent protein kinase 1,1519.0,PDPK1,O15530,ENSG00000140992,Human,False,Inhibitor,Inhibition,,True,20197390
12060,BT7480,4-1BB,1878.0,TNFRSF9,Q07011,ENSG00000049249,Human,False,Agonist,Agonist,,False,35819182
9311,urelumab,4-1BB,1878.0,TNFRSF9,Q07011,ENSG00000049249,Human,False,Antibody,Agonist,,True,
9244,utomilumab,4-1BB,1878.0,TNFRSF9,Q07011,ENSG00000049249,Human,False,Antibody,Agonist,,True,22406983
5081,4-1BB ligand,4-1BB,1878.0,TNFRSF9,Q07011,ENSG00000049249,Human,False,,,,False,
8841,4-acryloylphenol,4-aminobutyrate aminotransferase,2464.0,ABAT,P80404,ENSG00000183044,Human,False,Inhibitor,Inhibition,,False,16290145
8284,CPP-115,4-aminobutyrate aminotransferase,2464.0,ABAT,P80404,ENSG00000183044,Human,False,Inhibitor,Inhibition,,True,22168767
4821,vigabatrin,4-aminobutyrate aminotransferase,2464.0,ABAT,P80404,ENSG00000183044,Human,True,Inhibitor,Irreversible inhibition,,True,856582|22168767
8737,IGN523,4F2hc,890.0,SLC3A2,P08195,ENSG00000168003,Human,False,Antibody,Binding,,True,
6834,nitisinone,4-hydroxyphenylpyruvate dioxygenase,2621.0,,,,Pig,True,Inhibitor,Inhibition,,True,10853644
10446,avitriptan,5-HT<sub>1A</sub> receptor,1.0,Htr1a,P19327,ENSRNOG00000010254,Rat,False,Agonist,Agonist,,False,9050026
8182,flibanserin,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Agonist,,True,12177684
7191,frovatriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Agonist,,False,9986723
8434,LP-12,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Agonist,,False,17649988
8436,LP-211,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Agonist,,False,18800769
8435,LP-44,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Agonist,,False,17649988
10454,ulotaront,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Agonist,,False,31371483
3,1-naphthylpiperazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9397179
4,5-CT,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,1386736|9760039|9550290|9205951
5,5-hydroxytryptamine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,1386736|9760039|10431754|9550290|9205951|15628665
6,7-methoxy-1-naphthylpiperazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9397179
7,8-OH-DPAT,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,1386736|9760039|9550290|15628665|9495870|10611634|12527336|9067310
22,asenapine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9760039|8935801
8,BMY-14802,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
37,cabergoline,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,12388666
38,clozapine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9760039|8935801|9732398
11,CP 93129,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9205951
39,donitriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,10381763
40,eletriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,10193663
12,EMDT,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,10715164
13,FG-5893,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
1,flesinoxan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
15,"L-694,247",5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9205951
16,"L-772,405",5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,10585208
43,lisuride,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9550290|9205951|12388666
18,"LY 165,163",5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
19,LY293284,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,11101361
20,LY334370,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,15900510
21,LY344864,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9395253
17,Lysergide,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,12213075
44,nafadotride,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
45,naratriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9205951|10193663
3924,NLX-101,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,19154445
46,ocaperidone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9065439
47,olanzapine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9760039|8935801
50,quetiapine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9760039|8935801
2,quinpirole,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,10431754
51,rizatriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,10193663
23,RU 24969,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
24,S-14506,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039|9550290
25,S-14671,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039|9550290
53,spiroxatrine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
54,sumatriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,10193663
31,[<sup>3</sup>H]8-OH-DPAT,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,10431754|9550290|15628665|11101361
3925,[<sup>3</sup>H]NLX-112,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,20799027
55,tandospirone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
30,U92016A,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,7965808
57,xanomeline,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,9884068
58,zalospirone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Full agonist,,False,9760039
60,zolmitriptan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Full agonist,,False,10193663
33,apomorphine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,12388666
34,aripiprazole,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,12784105
9,BMY-7378,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9048968
10,BRL-15572,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9303567
35,bromocriptine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,12388666
36,buspirone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,True,1386736|9760039|9550290
29,capeserod,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,12130738
41,fluparoxan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,10611634
14,GR 127935,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9397179|9303567
42,ipsapirone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9760039|9550290
7461,lurasidone,5-HT<sub>1A</sub> receptor,1.0,Htr1a,P19327,ENSRNOG00000010254,Rat,True,Agonist,Partial agonist,,False,20404009
48,pergolide,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,12388666
49,piribedil,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,12388666
52,roxindole,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,10431754|12388666
3218,(R)-UH 301,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9760039
26,S-15535,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9550290
167,S 16924,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9732398
28,SB 216641,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9303567
32,[<sup>3</sup>H]S-15535,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Agonist,Partial agonist,,False,9550290
56,terguride,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,12388666
7427,vilazodone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,True,15341484
7427,vilazodone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,True,19499624
7351,vortioxetine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,True,21486038
59,ziprasidone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Agonist,Partial agonist,,False,9760039|8935801
104,RS-30199,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Allosteric modulator,Positive,,False,9707291
67,9-OH-risperidone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,8935801
62,(+)-butaclamol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039
83,chlorpromazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039
84,cyamemazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,12527336
85,fluspirilene,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,8935801
69,"GR 125,743",5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9205951
70,"GR 218,231",5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,10869410
86,haloperidol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039|9067310|8935801|9732398
87,iloperidone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,11750183
87,iloperidone,5-HT<sub>1A</sub> receptor,1.0,Htr1a,P19327,ENSRNOG00000010254,Rat,True,Antagonist,Antagonist,,False,8997630
68,<i>p</i>-MPPI,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,15628665
65,(<i>R</i>)-flurocarazolol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,11512051
66,(<i>S</i>)-flurocarazolol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,11512051
88,ketanserin,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,1386736
7227,mesoridazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,15357957
89,methiothepin,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039|9550290
71,MPDT,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,10715164
73,NAN 190,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039
90,pimozide,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039
91,pindolol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9550290
92,pipamperone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,8935801
93,pizotifen,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9205951
63,(-)-propranolol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9205951
3227,p-[<sup>18</sup>F]MPPF,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,16330560
94,raclopride,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039
74,Rec 15/3079,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,11714892
95,repinotan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9495870
96,risperidone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039|8935801
96,risperidone,5-HT<sub>1A</sub> receptor,1.0,Htr1a,P19327,ENSRNOG00000010254,Rat,True,Antagonist,Antagonist,,False,8997630
97,ritanserin,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9048968
72,robalzotan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9336327
75,SB 272183,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,11454652
76,SB 649915,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,15887956
77,SB 714786,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,15887956
78,SDZ-216525,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9048968
98,sertindole,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039|8935801
99,spiperone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,1386736|9760039|9550290
61,(S)-UH 301,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039
3252,[<sup>11</sup>C]WAY100635,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,15689356
81,[<sup>3</sup>H]<i>p</i>-MPPF,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,15628665
82,[<sup>3</sup>H]robalzotan,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9851589
3251,[<sup>3</sup>H]WAY100635,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9048968
64,(-)-tertatolol,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039|9067310
100,thioridazine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,9760039
101,tiospirone,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039
79,WAY-100135,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9550290
80,WAY-100635,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,False,Antagonist,Antagonist,,False,9760039|9550290
102,yohimbine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,10611634
103,zotepine,5-HT<sub>1A</sub> receptor,1.0,HTR1A,P08908,ENSG00000178394,Human,True,Antagonist,Antagonist,,False,8935801
7110,almotriptan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Agonist,,False,11134654
10446,avitriptan,5-HT<sub>1B</sub> receptor,2.0,Htr1b,P28564,ENSRNOG00000013042,Rat,False,Agonist,Agonist,,False,9050026
10446,avitriptan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Agonist,,False,9050026
7191,frovatriptan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Agonist,,True,9986723
3250,[<sup>125</sup>I]GTI,5-HT<sub>1B</sub> receptor,2.0,Htr1b,P28564,ENSRNOG00000013042,Rat,False,Agonist,Agonist,,False,1738002|8361548
3,1-naphthylpiperazine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,9397179|1565658|8863519
218,2-methyl-5-HT,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658
4,5-CT,5-HT<sub>1B</sub> receptor,2.0,Htr1b,P28334,ENSMUSG00000049511,Mouse,False,Agonist,Full agonist,,False,1557407
4,5-CT,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658|8863519
5,5-hydroxytryptamine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658|8863519
5,5-hydroxytryptamine,5-HT<sub>1B</sub> receptor,2.0,Htr1b,P28334,ENSMUSG00000049511,Mouse,False,Agonist,Full agonist,,False,1557407
5,5-hydroxytryptamine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,10431754|1565658|9208142|9776361|11040052|8957260
107,5-MeOT,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658|8863519
106,5-(nonyloxy)-tryptamine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,10513577
6,7-methoxy-1-naphthylpiperazine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,9397179
7,8-OH-DPAT,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,9303569
120,alniditan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,8967979
34,aripiprazole,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,12784105
22,asenapine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,8935801
37,cabergoline,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,12388666
109,CGS-12066,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658|10513577
38,clozapine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,8935801
110,CP-122288,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,9303569
3221,CP94253,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,
121,dihydroergotamine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,8863519|8967979
122,dipropyl-5-CT,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658
39,donitriptan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,10381763
40,eletriptan,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,True,10193663
15,"L-694,247",5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,10513577
16,"L-772,405",5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,10585208
21,LY344864,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,9395253
123,lysergol,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,False,Agonist,Full agonist,,False,1565658|8863519
47,olanzapine,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,8935801
124,oxymetazoline,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,9632357
48,pergolide,5-HT<sub>1B</sub> receptor,2.0,HTR1B,P28222,ENSG00000135312,Human,True,Agonist,Full agonist,,False,12388666
